135 | loss 7.7188 | lr 1.000000e-03 | 1904.38ms
136 | loss 7.9375 | lr 1.000000e-03 | 1897.20ms
137 | loss 7.5938 | lr 1.000000e-03 | 1900.72ms
138 | loss 7.7500 | lr 1.000000e-03 | 1898.03ms
139 | loss 7.8750 | lr 1.000000e-03 | 1895.51ms
140 | loss 7.4062 | lr 1.000000e-03 | 1898.72ms
141 | loss 7.5000 | lr 1.000000e-03 | 1896.12ms
142 | loss 7.3125 | lr 1.000000e-03 | 1900.62ms
143 | loss 7.4375 | lr 1.000000e-03 | 1901.05ms
144 | loss 7.5312 | lr 1.000000e-03 | 1900.30ms
145 | loss 7.6562 | lr 1.000000e-03 | 1894.94ms
146 | loss 7.4688 | lr 1.000000e-03 | 1896.92ms
147 | loss 7.2188 | lr 1.000000e-03 | 1898.44ms
148 | loss 7.4062 | lr 1.000000e-03 | 1893.28ms
149 | loss 7.1250 | lr 1.000000e-03 | 1898.23ms
150 | loss 7.2500 | lr 1.000000e-03 | 1900.31ms
151 | loss 7.5938 | lr 1.000000e-03 | 1897.27ms
152 | loss 7.1562 | lr 1.000000e-03 | 1897.75ms
153 | loss 7.5000 | lr 1.000000e-03 | 1900.40ms
154 | loss 7.6875 | lr 1.000000e-03 | 1898.07ms
155 | loss 7.5312 | lr 1.000000e-03 | 1894.17ms
156 | loss 8.1250 | lr 1.000000e-03 | 1896.18ms
157 | loss 7.7500 | lr 1.000000e-03 | 1892.93ms
158 | loss 7.6250 | lr 1.000000e-03 | 1903.59ms
159 | loss 7.5625 | lr 1.000000e-03 | 1880.44ms
160 | loss 7.4375 | lr 1.000000e-03 | 1891.73ms
161 | loss 7.8438 | lr 1.000000e-03 | 1895.32ms
162 | loss 7.9062 | lr 1.000000e-03 | 1899.19ms
163 | loss 7.6250 | lr 1.000000e-03 | 1895.03ms
164 | loss 7.6562 | lr 1.000000e-03 | 1894.83ms
165 | loss 7.1875 | lr 1.000000e-03 | 1897.62ms
166 | loss 7.4062 | lr 1.000000e-03 | 1895.02ms
167 | loss 7.0000 | lr 1.000000e-03 | 1897.71ms
168 | loss 7.2188 | lr 1.000000e-03 | 1896.86ms
169 | loss 7.2812 | lr 1.000000e-03 | 1892.54ms
170 | loss 7.2812 | lr 1.000000e-03 | 1900.04ms
171 | loss 7.3438 | lr 1.000000e-03 | 1899.95ms
172 | loss 7.5000 | lr 1.000000e-03 | 1896.95ms
173 | loss 7.8125 | lr 1.000000e-03 | 1894.66ms
174 | loss 7.4062 | lr 1.000000e-03 | 1897.63ms
175 | loss 7.5938 | lr 1.000000e-03 | 1896.35ms
176 | loss 7.4688 | lr 1.000000e-03 | 1898.66ms
177 | loss 7.3125 | lr 1.000000e-03 | 1894.27ms
178 | loss 7.3125 | lr 1.000000e-03 | 1899.02ms
179 | loss 7.4688 | lr 1.000000e-03 | 1900.61ms
180 | loss 7.5625 | lr 1.000000e-03 | 1899.72ms
181 | loss 7.0312 | lr 1.000000e-03 | 1894.90ms
182 | loss 7.2812 | lr 1.000000e-03 | 1895.84ms
183 | loss 7.3750 | lr 1.000000e-03 | 1896.04ms
184 | loss 7.2812 | lr 1.000000e-03 | 1900.09ms
185 | loss 7.2500 | lr 1.000000e-03 | 1899.47ms
186 | loss 7.3750 | lr 1.000000e-03 | 1894.99ms
187 | loss 7.1875 | lr 1.000000e-03 | 1898.18ms
188 | loss 7.3125 | lr 1.000000e-03 | 1900.26ms
